X50,NAV
0.0,0.0
2875.653076171875,10000000.0
2869.219482421875,10004275.341079297
2878.004638671875,9999631.496903958
2917.377197265625,10002288.450524868
2863.479248046875,10101479.926393094
2887.238525390625,9958451.137301983
2867.02685546875,10120094.582931256
2855.450439453125,10040574.496642804
2872.40087890625,10044260.447923398
2894.95751953125,10074465.921537137
2892.18212890625,10182283.140937543
2919.67822265625,10195458.769037826
2955.83984375,10284295.124437911
2981.07275390625,10475759.460618598
2981.586181640625,10568063.171770673
2969.8046875,10688639.71174012
2957.143798828125,10724665.432630878
2999.561767578125,10732132.357107501
2982.447998046875,10807333.016907077
2937.0078125,10784339.775644641
2954.357666015625,10653795.418678623
2956.829345703125,10602632.52670564
2963.434814453125,10699149.775813
2930.9130859375,10715663.350127118
2940.08056640625,10598401.464436429
2928.835205078125,10692937.217257397
2927.876708984375,10598761.389420407
2929.4658203125,10475960.517142193
2897.70263671875,10530937.652466672
2922.347900390625,10387747.613928692
2922.979736328125,10404255.889580624
2940.80029296875,10333106.00544944
2983.119873046875,10406916.877908852
3013.533447265625,10535147.36048713
3015.420166015625,10674199.239797737
3004.723388671875,10702864.422769692
3011.75341796875,10688824.092836525
2963.17529296875,10702959.718914177
2968.905029296875,10523582.04848304
2973.21728515625,10603546.74670234
2954.30517578125,10607538.298769142
2959.03173828125,10545089.287634041
2967.0517578125,10567259.43123832
2981.361572265625,10593333.378286507
2968.283203125,10604254.629202034
2952.1181640625,10540002.605981972
2954.73388671875,10544558.388982471
3002.648681640625,10495752.4907214
3022.27490234375,10615919.462714847
3039.977294921875,10675717.2482354
3032.79150390625,10783334.961353
3033.299072265625,10764226.424942669
3012.45947265625,10736863.008104023
2965.70751953125,10645168.442068752
2971.360595703125,10498015.996728595
2967.670166015625,10506510.247741397
2968.568603515625,10387539.316869996
2954.701416015625,10458245.471407197
2980.94580078125,10360902.889157556
3000.7451171875,10415859.352017663
2968.123779296875,10528942.042137407
2949.3369140625,10420303.978784882
2922.266845703125,10374388.929541908
2951.247314453125,10270528.886779152
2946.56689453125,10312439.620288216
2944.32177734375,10331704.157622658
2930.481689453125,10339850.03362497
2894.71533203125,10302336.416228615
2899.43896484375,10221250.655945145
2909.623291015625,10263422.242935501
2901.06640625,10323624.681528412
2921.947509765625,10290106.10087294
2939.818359375,10400652.721861785
2933.0419921875,10461342.52372164
2936.9931640625,10463619.27099604
2949.646728515625,10552682.292155212
2938.044189453125,10542538.629946047
3006.312744140625,10496698.682340914
2999.201416015625,10816073.009523684
3033.142333984375,10959335.20019942
3025.78466796875,11108931.137213046
3017.712890625,11052644.382509524
3012.625732421875,11011092.654594714
2984.24267578125,10988505.625900561
2996.764892578125,10855880.461916262
2986.003662109375,11023832.612833316
3011.635986328125,11034162.082848255
3017.77880859375,11147480.98319501
3062.75,11115154.642376605
3063.218994140625,11332158.347615901
3090.8330078125,11302753.056344692
3078.279296875,11401795.53602666
3056.8359375,11400764.289340679
3074.01513671875,11331490.229568187
3037.8525390625,11374967.691478435
3067.545654296875,11225454.08974618
